Bitcoin,"$31,416.80",-5.25%,-18.25%,$598.05B
Ethereum,"$2,380.05",-1.31%,-15.89%,$287.32B
Tether,$0.9999,-0.01%,,$83.16B
BNB,$321.33,-4.51%,-17.05%,$52.47B
USD Coin,$1.00,,,$48.44B
XRP,$0.5178,-3.50%,-15.85%,$25.03B
Solana,$69.44,-4.30%,-20.71%,$23.37B
Cardano,$0.672,-14.39%,,$22.68B
Binance USD,$1.00,,,$17.35B
TerraUSD,$0.904,-9.22%,-9.72%,$16.31B
Dogecoin,$0.11,,,
Avalanche,$47.25,,,
Polkadot,$11.71,,,
Terra,$29.52,,,
Shiba Inu,$0.00,,,
Wrapped Bitcoin,$31555.63,,,
TRON,$0.08,,,
Dai,$1.00,,,
Polygon,$0.93,,,
NEAR Protocol,$10.27,,,
Cronos,$0.23,,,
Litecoin,$81.41,,,
UNUS SED LEO,$5.25,,,
FTX Token,$33.89,,,
Bitcoin Cash,$235.37,,,
Uniswap,$6.47,,,
Algorand,$0.63,,,
Chainlink,$8.93,,,
Cosmos,$14.50,,,
Stellar,$0.15,,,
Monero,$181.51,,,
Ethereum Classic,$24.36,,,
VeChain,$0.04,,,
Internet Computer,$11.15,,,
ApeCoin,$8.95,,,
Elrond,$114.64,,,
Hedera,$0.12,,,
Filecoin,$11.64,,,
The Sandbox,$1.83,,,
Decentraland,$1.17,,,
Tezos,$2.19,,,
Theta Network,$1.85,,,
PancakeSwap,$6.06,,,
EOS,$1.75,,,
THORChain,$5.02,,,
Axie Infinity,$26.70,,,
Aave,$112.09,,,
Fantom,$0.58,,,
KuCoin Token,$14.85,,,
Helium,$12.43,,,
Klaytn,$0.51,,,
Zcash,$99.52,,,
Waves,$12.94,,,
BitTorrent-New,$0.00,,,
Flow,$3.73,,,
TrueUSD,$1.00,,,
Huobi Token,$8.17,,,
Convex Finance,$20.50,,,
Bitcoin SV,$63.81,,,
The Graph,$0.25,,,
Maker,$1223.64,,,
IOTA,$0.42,,,
STEPN,$1.95,,,
eCash,$0.00,,,
Neo,$14.39,,,
Nexo,$1.73,,,
Pax Dollar,$1.00,,,
Curve DAO Token,$2.04,,,
Quant,$76.87,,,
Zilliqa,$0.07,,,
Celo,$2.06,,,
Neutrino USD,$0.95,,,
Stacks,$0.68,,,
Chiliz,$0.15,,,
OKB,$14.64,,,
Kusama,$99.55,,,
Dash,$76.70,,,
Gala,$0.12,,,
Loopring,$0.60,,,
Harmony,$0.07,,,
Mina,$1.53,,,
Enjin Coin,$0.85,,,
Basic Attention Token,$0.49,,,
XDC Network,$0.06,,,
Gnosis,$257.91,,,
Arweave,$19.28,,,
Lido DAO,$2.04,,,
Holo,$0.00,,,
Compound,$90.01,,,
PAX Gold,$1855.97,,,
Decred,$42.66,,,
Amp,$0.01,,,
NEM,$0.06,,,
ICON,$0.60,,,
Kava,$2.89,,,
Theta Fuel,$0.10,,,
yearn.finance,$14232.32,,,
Qtum,$4.91,,,
Symbol,$0.09,,,
Moonbeam,$1.88,,,
Audius,$0.6629,-3.79%,-22.20%,$472.90M
Secret,$2.90,-4.06%,-24.08%,$472.81M
Oasis Network,$0.1333,-4.49%,-22.50%,$465.76M
Kadena,$2.72,-9.55%,-29.75%,$465.55M
GateToken,$5.93,-2.05%,-5.21%,$464.42M
0x,$0.54,-3.97%,-22.64%,$457.64M
1inch Network,$1.09,-14.75%,-8.18%,$454.34M
OMG Network,$3.24,-0.89%,-16.65%,$454.13M
Bancor,$1.67,-3.39%,-16.09%,$449.57M
Livepeer,$18.79,-2.32%,-20.67%,$446.69M
Fei USD,$0.99,,,
IoTeX,$0.04,,,
Synthetix,$3.61,,,
SKALE Network,$0.12,,,
Bitcoin Gold,$23.47,,,
JUST,$0.06,,,
Ankr,$0.05,,,
