BitcoinBTC,"$35,923.13"
EthereumETH,"$2,686.43"
TetherUSDT,$0.9998
BNBBNB,$376.35
USD CoinUSDC,$1.00
XRPXRP,$0.5934
SolanaSOL,$81.46
CardanoADA,$0.7747
TerraLUNA,$73.02
TerraUSDUST,$0.9995
Binance USDBUSD,$0.999
DogecoinDOGE,$0.1298
AvalancheAVAX,$57.13
PolkadotDOT,$14.12
Shiba InuSHIB,$0.00001986
Wrapped BitcoinWBTC,"$35,948.71"
DaiDAI,$0.9995
TRONTRX,$0.08408
PolygonMATIC,$1.05
NEAR ProtocolNEAR,$10.60
CronosCRO,$0.278
LitecoinLTC,$96.26
Bitcoin CashBCH,$275.59
UniswapUNI,$7.47
AlgorandALGO,$0.7585
UNUS SED LEOLEO,$5.23
ChainlinkLINK,$10.66
CosmosATOM,$17.05
FTX TokenFTT,$35.69
StellarXLM,$0.1707
MoneroXMR,$210.37
Ethereum ClassicETC,$27.64
ApeCoinAPE,$12.71
VeChainVET,$0.04657
Internet ComputerICP,$12.38
HederaHBAR,$0.1334
FilecoinFIL,$13.68
ElrondEGLD,$120.61
DecentralandMANA,$1.41
The SandboxSAND,$2.00
TezosXTZ,$2.61
PancakeSwapCAKE,$7.46
Theta NetworkTHETA,$2.19
THORChainRUNE,$6.11
EOSEOS,$2.03
AaveAAVE,$137.51
KlaytnKLAY,$0.6601
FantomFTM,$0.7075
Axie InfinityAXS,$29.03
HeliumHNT,$14.71
ZcashZEC,$117.46
KuCoin TokenKCS,$17.02
FlowFLOW,$4.42
STEPNGMT,$2.68
BitTorrent-NewBTT,$0.000001657
WavesWAVES,$13.81
Huobi TokenHT,$9.28
Convex FinanceCVX,$23.27
The GraphGRT,$0.2978
Bitcoin SVBSV,$72.06
IOTAMIOTA,$0.4921
eCashXEC,$0.00007105
TrueUSDTUSD,$1.00
MakerMKR,"$1,323.68"
NeoNEO,$16.79
StacksSTX,$0.8494
NexoNEXO,$1.98
QuantQNT,$88.78
Curve DAO TokenCRV,$2.32
OKBOKB,$17.33
KusamaKSM,$122.21
ChilizCHZ,$0.1708
CeloCELO,$2.33
ZilliqaZIL,$0.07871
GalaGALA,$0.1382
Pax DollarUSDP,$1.00
LoopringLRC,$0.7143
Neutrino USDUSDN,$0.9857
DashDASH,$85.68
HarmonyONE,$0.07597
Enjin CoinENJ,$1.03
MinaMINA,$1.77
Basic Attention TokenBAT,$0.5706
XDC NetworkXDC,$0.06331
AmpAMP,$0.01803
NEMXEM,$0.08204
DecredDCR,$51.79
ArweaveAR,$21.32
KavaKAVA,$3.74
HoloHOT,$0.004009
CompoundCOMP,$101.97
Anchor ProtocolANC,$1.88
Theta FuelTFUEL,$0.1208
PAX GoldPAXG,"$1,887.06"
yearn.financeYFI,"$16,750.22"
KadenaKDA,$3.50
0xZRX,$0.6966
MoonbeamGLMR,$2.28
SecretSCRT,$3.49
ICONICX,$0.6194
